word,machine_translation,human_translation,machine_translation_updated
securely,ni aabo,,ni aabo
gracelessly,laanu,àìlóore-ọ̀fẹ́,àìlóore-ọ̀fẹ́
chop,gige,ké,ké
argument,ariyanjiyan,àríyànjiyàn,àríyànjiyàn
incessantly,ailopin,àìlópin,àìlópin
contentious,àríyànjiyàn,àríyànjiyàn,àríyànjiyàn
robbery,ole jija,olè-jíjà,olè-jíjà
fidgety,fidgety,fidgety,fidgety
roughness,ìka,àìkúná,àìkúná
humility,irele,,irele
liable,lodidi,dáhùn fún,dáhùn fún
oversight,alabojuto,àyọkúrò,àyọkúrò
creeping,ti nrakò,ń rákò,ń rákò
virtuously,daradara,,daradara
bafflement,idamu,ìdààmú,ìdààmú
calming,tunu,n pa rọrọ,n pa rọrọ
john,john,jòánù,jòánù
straightforward,taara,,taara
embolism,embolism,ònka-ọjọ́,ònka-ọjọ́
mawkishly,laanu,àìlera,àìlera
community,awujo,,awujo
drone,drone,kòkòro-oyin,kòkòro-oyin
mange,akopọ,ààrun-ẹranko,ààrun-ẹranko
farcically,farcically,ṣàjèjì,ṣàjèjì
idolized,oriṣa,bọ oriṣa,bọ oriṣa
inheritance,ogún,,ogún
unfettered,aiṣedeede,tu li ẹwọn,tu li ẹwọn
inveigle,inveigle,fi dánílójú,fi dánílójú
guiltily,ẹlẹṣẹ,ẹlẹ́sẹ̀,ẹlẹ́sẹ̀
groundless,ti ko ni ilẹ,àìfẹsẹ̀múlẹ̀,àìfẹsẹ̀múlẹ̀
allergy,aleji,ẹhun,ẹhun
clerical,alufaa,,alufaa
short-sightedness,iranran kukuru,ìran-kúkúrú,ìran-kúkúrú
sues,awọn ẹjọ,àwọn ẹjọ́,àwọn ẹjọ́
bewildered,dãmu,ìyàlẹ́nu,ìyàlẹ́nu
neatest,afinju,,afinju
long-winded,gun-winded,àsọjù,àsọjù
lurid,lurid,ẹ̀rù,ẹ̀rù
voodoo,voodoo,ògùn,ògùn
obstructive,idiwọ,díwọ́,díwọ́
jubilation,ayọ,,ayọ
impound,gba,gbà,gbà
purity,mimo,,mimo
breaking,fifọ,fífọ́,fífọ́
exasperatingly,exasperatingly,ìpinlẹ́mìnín,ìpinlẹ́mìnín
parade,Itolẹsẹ,ìtòlẹ́sẹẹsẹ,ìtòlẹ́sẹẹsẹ
goodwill,ife -rere,,ife -rere
colorful,lo ri,alawọ pupọ,alawọ pupọ
insufficient,aito,àìtó,àìtó
simplifies,simplifies,mu rọrun,mu rọrun
study,iwadi,,iwadi
adaptive,aṣamubadọgba,,aṣamubadọgba
finer,finer,dara ju,dara ju
wrathful,ibinu,ìbínú,ìbínú
optimistic,ireti,nireti,nireti
self-satisfaction,itẹlọrun ara ẹni,,itẹlọrun ara ẹni
incredulously,alaigbagbọ,àìgbàgbọ́,àìgbàgbọ́
undersized,undersized,àìtóbi,àìtóbi
mismanagement,aiṣedeede,àṣìlò,àṣìlò
fascism,fascism,ìjọba apàṣẹ,ìjọba apàṣẹ
thrilled,yiya,,yiya
calumniation,iṣiro,ìbánilórúkọjẹ́,ìbánilórúkọjẹ́
forget,gbagbe,gbàgbé,gbàgbé
swine,ẹlẹ́dẹ̀,ẹlẹ́dẹ̀,ẹlẹ́dẹ̀
bitingly,bitingly,Jíjẹ,Jíjẹ
bitter,kikorò,Korò,Korò
junky,ẹlẹgbin,ìjẹkújẹ,ìjẹkújẹ
subpoena,ipe ase,ìpè àṣẹ,ìpè àṣẹ
disdainfully,lainidi,ẹlẹ́gàn,ẹlẹ́gàn
animated,ti ere idaraya,,ti ere idaraya
feasibly,ṣee ṣe,,ṣee ṣe
doldrums,doldrums,òmùgọ̀,òmùgọ̀
darkest,dudu julọ,òkùnkùn,òkùnkùn
malfeasance,aiṣedeede,àìṣedéédé,àìṣedéédé
sinful,elese,ẹlẹ́sẹ̀,ẹlẹ́sẹ̀
explorations,explorations,awọ́n iwakiri,awọ́n iwakiri
acerbically,àfọwọ́kọ,àfọwọ́kọ,àfọwọ́kọ
destruction,ìparun,ìparun,ìparun
pandemic,àjàkálẹ àrùn tókárí-ayé,àjàkálẹ̀-àrun,àjàkálẹ̀-àrun
definitive,pataki,,pataki
overflow,àkúnwọsílẹ,àkúnwọ́sílẹ̀,àkúnwọ́sílẹ̀
bolster,ṣe atilẹyin,,ṣe atilẹyin
uninspired,ti ko ni atilẹyin,àìlátìlẹyìn,àìlátìlẹyìn
hid,farasin,fara pamọ́,fara pamọ́
occult,òkùnkùn,farasin,farasin
rejoiced,yọ,,yọ
venerate,jọ́sìn,buyin fun,buyin fun
delaying,idaduro,ń dá dúró,ń dá dúró
brighter,tan imọlẹ,mọlẹ,mọlẹ
succeeds,ṣe aṣeyọri,,ṣe aṣeyọri
bewitch,bewitch,ṣe oògùn si,ṣe oògùn si
slut,ọlẹ,ọ̀lẹ,ọ̀lẹ
cried,sunkún,sunkún,sunkún
celebrity,gbajumọ,,gbajumọ
comforting,itunu,,itunu
nitpicking,nitpicking,wíwá àṣìṣe,wíwá àṣìṣe
justifiable,idalare,,idalare
wrestling,gídígbò,gídígbò,gídígbò
dejecting,dejecting,ìbànújẹ́,ìbànújẹ́
guzzling,rirọ,mímu,mímu
amazingly,iyalẹnu,,iyalẹnu
quicker,yiyara,,yiyara
freely,larọwọto,,larọwọto
enjoin,paṣẹ,pàṣẹ,pàṣẹ
unimproved,unimproved,àìlátùnṣe,àìlátùnṣe
speck,erupẹ,àbàwọ́n,àbàwọ́n
belligerently,igboya,ìgboyà,ìgboyà
mockery,ẹgan,ẹ̀gàn,ẹ̀gàn
incessant,ailopin,àìlópin,àìlópin
unreal,otitọ,ti ki iṣẹ òtítọ,ti ki iṣẹ òtítọ
importune,pataki,dà láàmú,dà láàmú
merge,dapọ,,dapọ
assets,ìní,awọn ohun ìní,awọn ohun ìní
irrecoverably,irrecoverably,àìlátúnṣe,àìlátúnṣe
motivated,qkan,ru soke,ru soke
self-criticism,ara-lodi,ìlòdì sí ara ẹni,ìlòdì sí ara ẹni
creative,àtinúdá,,àtinúdá
dying,ku,kú,kú
case,irú,ọ̀ràn,ọ̀ràn
nobility,ọlọla,,ọlọla
rating,igbelewọn,ìgbéléwọ̀n,ìgbéléwọ̀n
defiantly,alaigbọran,ìpèníjà,ìpèníjà
save,fipamọ,,fipamọ
metropolitan,ilu nla,,ilu nla
stoppage,idaduro,ìdádúró,ìdádúró
cruciate,agbelebu,àgbélèbú,àgbélèbú
pose,duro,ìdúró-ìyanràn,ìdúró-ìyanràn
spontaneous,lẹẹkọkan,,lẹẹkọkan
soiled,ẹgbin,dọ̀tí,dọ̀tí
earnest,tọkàntọkàn,nigbona,nigbona
sterling,sita,mọ,mọ
gems,fadaka,,fadaka
jump,fo,,fo
fallacy,iro,irọ́,irọ́
blower,fifun sita,ẹwìrì,ẹwìrì
cess,cess,owó-orí,owó-orí
sinning,elese,dídẹ́ṣẹ̀,dídẹ́ṣẹ̀
dysentery,dysentery,ọgbẹ́-inú,ọgbẹ́-inú
horribly,oburewa,burújù,burújù
statement,gbólóhùn,,gbólóhùn
deficiency,aipe,àìpé,àìpé
murky,ṣokunkun,ṣókùnkùn,ṣókùnkùn
feudal,feudal,ajẹmọ́-ológun,ajẹmọ́-ológun
scarier,idẹruba,ìdẹ́rùbà,ìdẹ́rùbà
dirtbags,awọn apo idoti,àwọn àpò ìdọ̀tí,àwọn àpò ìdọ̀tí
slack,ọlẹ,ṣọ̀lẹ,ṣọ̀lẹ
offshoot,offshoot,ehu eweko,ehu eweko
buzzing,ariwo,kíkùn,kíkùn
merrily,inu didun,,inu didun
distressing,ipọnju,ìpọ́njú,ìpọ́njú
piety,ibowo,,ibowo
odious,ẹlẹgbin,nírìra,nírìra
customer,onibara,,onibara
presentable,gbekalẹ,,gbekalẹ
treacherously,arekereke,àrèkérekè,àrèkérekè
enthralled,yin ojlofọndotenamẹ,iwunilori,iwunilori
prefered,prefered,fẹran,fẹran
embarrassingly,itiju,ìtìjú,ìtìjú
twat,twat,òbò,òbò
belated,belated,ó ti jù,ó ti jù
malcontented,alainilara,àìnítẹ̀ẹ́lọ́rùn,àìnítẹ̀ẹ́lọ́rùn
brother,arakunrin,,arakunrin
fearless,laifoya,,laifoya
laurels,laureli,,laureli
pertinacious,pertinacious,ọlọ́kànlíle,ọlọ́kànlíle
mire,ẹrẹ,ẹrẹ̀,ẹrẹ̀
radon,radon,afẹ́fẹ́,afẹ́fẹ́
monument,arabara,ohun iranti,ohun iranti
desiring,ifẹkufẹ,fẹ,fẹ
insolence,alaigbọran,ìgbéraga,ìgbéraga
flake,flake,àìlèfọkàntán,àìlèfọkàntán
decrepit,idinku,ìdínkù,ìdínkù
poisonously,majele,májèlé,májèlé
excoriate,excoriate,bóra,bóra
exonerated,alailẹṣẹ,,alailẹṣẹ
cheerless,alainidunnu,aláìnídùnú,aláìnídùnú
bright,imọlẹ,mọlẹ,mọlẹ
mourning,ṣọfọ,ṣọ̀fọ̀,ṣọ̀fọ̀
beholden,wo,kíyèsí,kíyèsí
enforce,fi agbara mu,,fi agbara mu
prblm,prblm,prblm,prblm
deranged,ti bajẹ,dàrúdàpọ̀,dàrúdàpọ̀
panicking,ijaaya,ìjayà,ìjayà
prik,Prik,gé,gé
whoa,ta,yà lẹ́nu,yà lẹ́nu
enliven,gbe laaye,so daye,so daye
incivility,ailagbara,àìmọ̀wáhù,àìmọ̀wáhù
screams,pariwo,pariwo,pariwo
phenomenal,iyalẹnu,,iyalẹnu
invariably,nigbagbogbo,,nigbagbogbo
commemoration,iranti,,iranti
litter,idoti,òkìtì,òkìtì
hardness,líle,líle,líle
gentleman,jeje,arakunrin,arakunrin
cutting,gige,gígé,gígé
courageousness,igboya,,igboya
shrouded,ti a bo,tí a bò,tí a bò
suffices,to,,to
draconic,draconic,burú,burú
giving,fífúnni,,fífúnni
snobish,imukuro,ìmúkúrò,ìmúkúrò
negligence,aifiyesi,àìfiyèsí,àìfiyèsí
ill-mannered,iwa ti ko dara,ìwà búburú,ìwà búburú
mug,ago,ago,ago
exasperated,binu,pinlẹ́mìnín,pinlẹ́mìnín
tense,nira,nira,nira
pamper,pamper,toju,toju
tumultuous,rudurudu,aláriwo,aláriwo
flagging,asia,,asia
convert,yipada,,yipada
civility,ọlaju,oni iwa rere,oni iwa rere
knowledge,imo,,imo
uninitiated,alaimoye,ọ̀gbẹ̀rì,ọ̀gbẹ̀rì
gush,gush,tu jade,tu jade
bothersome,bothersome,ní ìdààmú,ní ìdààmú
afford,irewesi,ni to,ni to
embarrassment,itiju,ìtìjú,ìtìjú
noisy,alariwo,aláriwo,aláriwo
illumine,itanna,,itanna
incredibly,iyalẹnu,,iyalẹnu
declining,dinku,ń kọ̀ sílẹ̀,ń kọ̀ sílẹ̀
forged,ayederu,ayédèrú,ayédèrú
refunded,agbapada,gbapada,gbapada
aunt,anti,,anti
poison,majele,májèlé,májèlé
undercut,abẹ abẹ,ìgélábẹ́,ìgélábẹ́
nonsensical,alaimọkan,aláìnítumọ̀,aláìnítumọ̀
disuse,ilokulo,àìṣàmúlò,àìṣàmúlò
indoctrinate,indoctrinate,ìpilẹ̀ṣẹ̀,ìpilẹ̀ṣẹ̀
chafing,gbigbona,oru,oru
opportunities,awọn anfani,,awọn anfani
fastest,yiyara,yara julọ,yara julọ
congratulations,oriire,,oriire
engage,olukoni,gba-niṣẹ,gba-niṣẹ
saggy,saggy,sàn wálẹ̀,sàn wálẹ̀
scold,ibawi,ìbáwí,ìbáwí
reluctant,lọra,lọ́ra,lọ́ra
stalwart,alatako,alágbára,alágbára
retirement,ifẹhinti lẹnu iṣẹ,ìfẹ̀yìntì-lẹ́nu-iṣẹ́,ìfẹ̀yìntì-lẹ́nu-iṣẹ́
approval,alakosile,ifọwọsi,ifọwọsi
gaunt,gaunt,rù,rù
unification,isọdọkan,,isọdọkan
ranted,ranted,ìbínú,ìbínú
staunchly,ni igboya,duroṣinṣin,duroṣinṣin
disposal,isọnu,̀ìkáwọ́,̀ìkáwọ́
stylishly,aṣa,ti aṣa,ti aṣa
opportune,anfani,,anfani
refusal,kiko,kíkọ̀,kíkọ̀
sharpest,didasilẹ,mu julọ,mu julọ
option,aṣayan,,aṣayan
popularity,gbale,,gbale
obliging,ọranyan,,ọranyan
superstitious,superstitious,onígbàgbọ́,onígbàgbọ́
flee,sá,sá,sá
modern,igbalode,,igbalode
irresponsibly,irresponsibly,àìwúlò,àìwúlò
besmirch,besmirch,tí kò ṣe àkíyèsí,tí kò ṣe àkíyèsí
effectively,fe ni,pelu agbara,pelu agbara
remorsefully,banuje,ìbànújẹ́,ìbànújẹ́
soundness,ìlera,,ìlera
mannered,ihuwasi,,ihuwasi
center,aarin,,aarin
hard,lile,líle,líle
damper,rọ,asàyẹ̀wò,asàyẹ̀wò
proactive,ṣakoso,,ṣakoso
mortifying,mortifying,ṣíṣe ìbàjẹ́,ṣíṣe ìbàjẹ́
bleakness,ṣokunkun,ṣókùnkùn,ṣókùnkùn
quarrelsome,ìjà,ajẹmọ́jà,ajẹmọ́jà
crystal,kirisita,,kirisita
lavishly,lavishly,fi ṣofo,fi ṣofo
devastate,iparun,ìparun,ìparun
playhouse,ile ere,,ile ere
auspicious,rere,loju rere,loju rere
laughing,nrerin,,nrerin
nebulously,nebulously,aláìdánilójú,aláìdánilójú
pitiless,alailera,àìláàánú,àìláàánú
monumental,monumental,ohun iranti,ohun iranti
warmly,gbona,daradara,daradara
flawless,ijuwe,ailabawọn,ailabawọn
insufficiency,ailagbara,àìtó,àìtó
exhilaration,igbadun,inudidun,inudidun
strikes,kọlu,kọlù,kọlù
mislead,ṣìna,ṣìnà,ṣìnà
betrayer,olurekọja,ọ̀dàlẹ̀,ọ̀dàlẹ̀
gimmicky,gimmicky,ajẹméte,ajẹméte
enticingly,enticingly,pelu etàn,pelu etàn
discoutinous,discoutinous,ìdádúró,ìdádúró
compelled,fi agbara mu,,fi agbara mu
lemma,lemma,ofin,ofin
overwhelmed,rẹwẹsi,rẹ̀wẹ̀sì,rẹ̀wẹ̀sì
dismalness,ailera,ipò àìláyọ̀,ipò àìláyọ̀
insubstantially,insubstantially,àìtó,àìtó
contagion,itankale,ìtànkálẹ̀,ìtànkálẹ̀
funky,funky,lóòórùn,lóòórùn
commitment,ifaramo,,ifaramo
gambler,olutayo,onítẹ́tẹ́,onítẹ́tẹ́
favoritism,ojusaju,,ojusaju
fallen,ṣubu,ṣubú,ṣubú
cocky,akotan,akotan,akotan
scarred,aleebu,sẹ̀rùbà,sẹ̀rùbà
cautious,ṣọra,,ṣọra
fain,fain,tayọ-tayọ,tayọ-tayọ
easy,rọrun,,rọrun
unsuccessful,ti ko ni aṣeyọri,àìláṣeyọrí,àìláṣeyọrí
stressors,awọn aapọn,àwọn áápọn,àwọn áápọn
war,ogun,ogun,ogun
gloatingly,inu didùn,borí,borí
direly,taara,léwu,léwu
skip,foo,fò,fò
farcical,farcical,ṣàjèjì,ṣàjèjì
courteous,oninuure,,oninuure
impede,ṣe idiwọ,ṣe ìdíwọ́,ṣe ìdíwọ́
interminable,interminable,lailopin,lailopin
steals,ji,jí,jí
squirm,gbon,lọ́ bí ejò,lọ́ bí ejò
scoff,ẹgan,ẹ̀gàn,ẹ̀gàn
conspiracies,awọn igbero,àwọn ìgbèrò,àwọn ìgbèrò
diverse,orisirisi,,orisirisi
fate,ayanmọ,àyànmọ́,àyànmọ́
struggled,ìjàkadì,ìjàkadì,ìjàkadì
cancel,fagilee,fagilé,fagilé
oak,igi oaku,,igi oaku
suspects,awọn afurasi,àwọn afurasí,àwọn afurasí
miseries,ibanujẹ,ìbànújẹ́,ìbànújẹ́
exuberantly,pelu idunnu,,pelu idunnu
enraptured,enraptured,fi ayọ kun,fi ayọ kun
soot,esufulawa,òyì-èdú,òyì-èdú
punch,Punch,agbára,agbára
sonar,sonar,wíwárí lábẹ́ omi,wíwárí lábẹ́ omi
flawed,abawọn,àbàwọ́n,àbàwọ́n
ax,ake,akéé,akéé
nebulous,alaigbọran,aláìdánilójú,aláìdánilójú
bribe,àbẹ̀tẹ́lẹ̀,àbẹ̀tẹ́lẹ̀,àbẹ̀tẹ́lẹ̀
ultra-crisp,olekenka-agaran,aganran,aganran
pepped,pepped,ro lagbara,ro lagbara
condemnable,jẹbi,jẹ̀bi,jẹ̀bi
stealthy,olè jíjà,ayọ́rìn,ayọ́rìn
audacious,igboya,,igboya
illumination,itanna,,itanna
eased,rọrùn,,rọrùn
famous,olokiki,,olokiki
ail,ail,dààmú,dààmú
straits,straits,iyè-méjì,iyè-méjì
gluttony,àjẹkì,àjẹkì,àjẹkì
shamelessly,itiju,ìtìjú,ìtìjú
scorching,gbigbona,gbígbóná,gbígbóná
protesters,alainitelorun,olùfẹ̀hónúhàn,olùfẹ̀hónúhàn
justification,idalare,,idalare
pardoning,idariji,n dariji,n dariji
tenement,tenement,ibùgbé,ibùgbé
maroon,maroon,etídò,etídò
boredom,alaidun,aládùn,aládùn
repellant,apanirun,ìdápadà-sẹ́yìn,ìdápadà-sẹ́yìn
hothouse,ile igbona,ilé gbígbóná,ilé gbígbóná
marvelous,iyanu,,iyanu
audible,ngbohun,,ngbohun
light-hearted,imole okan,laini aniyan,laini aniyan
dislikes,ikorira,kórìíra,kórìíra
defender,olugbeja,,olugbeja
ulterior,ti ita,ìta,ìta
provokes,ru,ru,ru
horrendously,ibanuje,burú jáì,burú jáì
streaky,ṣiṣan,ṣiṣan,ṣiṣan
morbid,aisan,àìlera,àìlera
adoring,adoring,juba,juba
public,ti gbogbo eniyan,,ti gbogbo eniyan
award,eye,,eye
implausibly,implausibly,àìṣeéṣe,àìṣeéṣe
sham,itiju,tàn,tàn
narrower,dín,kéré,kéré
uninteresting,ti ko nifẹ,aláìdùn,aláìdùn
frets,frets,bẹ̀rù,bẹ̀rù
amour,amour,ife,ife
downside,ẹgbẹ,ẹgbẹ́,ẹgbẹ́
reprove,bawi,báwí,báwí
wane,eni,dínkù,dínkù
resources,awọn orisun,,awọn orisun
hydrocephalus,hydrocephalus,kíkéré-orí,kíkéré-orí
swollen,wú,wú,wú
perfect,pipe,,pipe
amiable,alaanu,niwa  ọrẹ,niwa  ọrẹ
prays,gbadura,,gbadura
muzzle,muzzle,ẹnu-ìbọn,ẹnu-ìbọn
cracks,dojuijako,sán,sán
horrify,ibanuje,léwu,léwu
major,pataki,,pataki
torrent,odò,àgbàra òjò,àgbàra òjò
measles,akàn,ṣọ̀pọ̀ná,ṣọ̀pọ̀ná
malady,aisan,àìsàn,àìsàn
vindictiveness,idalare,ìdáláre,ìdáláre
furious,ibinu,ìbínú,ìbínú
grow,dagba,,dagba
momentum,ipa,nkan irin,nkan irin
staunch,alagidi,duroṣinṣin,duroṣinṣin
fond,iferan,,iferan
ballot,iwe idibo,,iwe idibo
biopsy,biopsy,àyẹ̀wò-ẹ̀jẹ̀,àyẹ̀wò-ẹ̀jẹ̀
lame-duck,arọ-pepeye,aláìnírànwọ́,aláìnírànwọ́
tanks,awọn tanki,àwọn àmù,àwọn àmù
pound,iwon,òṣùwọ̀n,òṣùwọ̀n
survival,iwalaaye,,iwalaaye
goofy,goofy,àṣìṣe,àṣìṣe
soothed,farabale,tù,tù
torturing,ijiya,ìjìyà,ìjìyà
wretchedness,ibanujẹ,òṣì,òṣì
disfavor,aigbagbe,àìrójúrere,àìrójúrere
fag,fagilee,fágì,fágì
incarceration,atimole,ìtìmọ́lé,ìtìmọ́lé
heady,ori,ọlọ́pọlọ,ọlọ́pọlọ
purify,sọ di mimọ,,sọ di mimọ
bemoan,kigbe,kígbe,kígbe
sore,egbo,egbò,egbò
stellarly,irawọ,,irawọ
depressing,ibanujẹ,ìbànújẹ́,ìbànújẹ́
unpretentious,unpretentious,laidawọle,laidawọle
exotic,nla,,nla
ordeal,ipọnju,ìpọ́njú,ìpọ́njú
stooges,stooges,ẹni tí a tànjẹ,ẹni tí a tànjẹ
bumpping,bumpping,ìjálù,ìjálù
defiance,alaigbọran,ìpèníjà,ìpèníjà
unsettling,rudurudu,àìtòrò,àìtòrò
incompetence,ailagbara,àìlágbára,àìlágbára
hissing,ariwo,pípa òṣé,pípa òṣé
enslavement,ẹrú,ìmúnilẹ́rú,ìmúnilẹ́rú
impervious,ailagbara,ko-kan,ko-kan
spookily,laiyara,ní ẹ̀rù,ní ẹ̀rù
illustrious,ọlọla,,ọlọla
cherish,nifẹẹ,kẹ,kẹ
serene,alaafia,,alaafia
decry,kọ,kọ̀,kọ̀
polluters,awọn onibajẹ,àwọn oníbàjẹ́,àwọn oníbàjẹ́
pessimism,aibikita,áìnírètí,áìnírètí
deviation,iyapa,ìyapa,ìyapa
kid-friendly,ore-omo,,ore-omo
blah,blah,àìnítumọ̀,àìnítumọ̀
villian,villian,aláburú,aláburú
weight,àdánù,ìwọ̀n,ìwọ̀n
calms,tunu,dakẹ,dakẹ
ovation,igbega,,igbega
weirdly,iyalẹnu,ṣàjòjì,ṣàjòjì
stammer,alagidi,kílòlò,kílòlò
picketed,picketed,ìfẹ̀hónúhàn,ìfẹ̀hónúhàn
triumphant,olubori,,olubori
forage,forage,oúnjẹ,oúnjẹ
imaginative,arojinle,,arojinle
jackass,jackass,akọ kẹ́tẹ́kẹ́tẹ́,akọ kẹ́tẹ́kẹ́tẹ́
pampers,pampers,kẹ,kẹ
execution,ipaniyan,ìpànìyàn,ìpànìyàn
futility,asan,asán,asán
madness,isinwin,ìsíwín,ìsíwín
divinely,atorunwa,,atorunwa
tattered,ti bajẹ,dàkísà,dàkísà
postponing,idaduro,ìdádúró,ìdádúró
well-informed,daradara-fun,ni imọ,ni imọ
endurance,ìfaradà,,ìfaradà
undue,aiṣedeede,aláìyẹ,aláìyẹ
fine-looking,itanran-nwa,rẹwa,rẹwa
ridiculous,yeye,yẹ̀yẹ́,yẹ̀yẹ́
academic,omowe,,omowe
cafe,kafe,,kafe
ill-sorted,alailera-lẹsẹsẹ,àìbámu,àìbámu
lucidly,lucidly,pelu ọgbọon,pelu ọgbọon
temptingly,idanwo,,idanwo
recalcitrant,alaigbagbọ,aláìgbọràn,aláìgbọràn
pointedly,ni pato,,ni pato
estranged,ajeji,àjèjì,àjèjì
preservative,olutọju,,olutọju
gooood,gooood,dara,dara
large-capacity,agbara-nla,,agbara-nla
amphetamines,amphetamines,ògùn-ìmọ̀lára,ògùn-ìmọ̀lára
zealous,onítara,ìtara,ìtara
whine,kigbe,ké,ké
courtship,ibaṣepọ,,ibaṣepọ
careless,aibikita,áìbìkítà,áìbìkítà
omen,asami,àmì,àmì
FALSE,èké,èké,èké
goof,goof,àṣìṣe,àṣìṣe
brainwash,fifọ ọpọlọ,tànjẹ,tànjẹ
prowess,akọni,,akọni
toxin,majele,májèlé,májèlé
unreasonable,àìní'ronú,àìnírónù,àìnírónù
loses,npadanu,pàdánù,pàdánù
brightness,imọlẹ,,imọlẹ
loathes,korira,kò ríra,kò ríra
compelling,ọranyan,,ọranyan
unrivaled,alailẹgbẹ,,alailẹgbẹ
finely,finely,dara,dara
embroil,wọ inu,nira,nira
accursed,eegun,èègún,èègún
acridly,lairotẹlẹ,korò,korò
mortality,iku,ikú,ikú
impatient,ikanju,ìkánjú,ìkánjú
lacks,ko si,ṣàìní,ṣàìní
remedy,atunse,,atunse
rife,rife,ọ̀pọ̀,ọ̀pọ̀
objections,atako,àtakò,àtakò
seclusion,idayatọ,,idayatọ
chisel,chisel,ohunelo irin mimu,ohunelo irin mimu
spoke,ti sọrọ,sọ̀rọ̀,sọ̀rọ̀
ineffective,ailagbara,àìlágbára,àìlágbára
rejection,ijusile,ìkọ̀sílẹ̀,ìkọ̀sílẹ̀
sanctimonious,mimọ,mímọ,mímọ
wreaks,wreaks,gbẹ̀san,gbẹ̀san
acid,acid,omi-ẹ̀kan,omi-ẹ̀kan
unwarranted,alaimoye,àìláṣẹ,àìláṣẹ
infatuated,ìfẹ́kúfẹ̀ẹ́,ni ìfẹ́kúfẹ̀ẹ́,ni ìfẹ́kúfẹ̀ẹ́
ripen,pọn,,pọn
criticize,ṣofintoto,ṣọ̀fíǹtótó,ṣọ̀fíǹtótó
assurances,awọn idaniloju,,awọn idaniloju
entertaining,idanilaraya,,idanilaraya
creaking,creaking,ìró,ìró
dietary,onjẹunjẹ,ounjẹ jijẹ,ounjẹ jijẹ
propitious,propitious,ojurere,ojurere
complicity,iṣọkan,ìṣọ̀kan,ìṣọ̀kan
fade,ipare,ṣá,ṣá
adjunct,idapo,fikun,fikun
depressions,ibanujẹ,ìbànújẹ́,ìbànújẹ́
supplication,ẹbẹ,,ẹbẹ
denial,kiko,kíkọ̀,kíkọ̀
accolade,iyin,,iyin
restorative,atunse,,atunse
integrity,iyege,otitọ inu,otitọ inu
unbelief,aigbagbo,àìgbàgbọ́,àìgbàgbọ́
low-rated,kekere-ti won won,Íwọ̀n kékeré,Íwọ̀n kékeré
unprove,unprove,àìnídànilójú,àìnídànilójú
drunkenness,ìmutípara,àmupara,àmupara
mortar,amọ,,amọ
repress,atunse,fagbáratẹ̀mọ́lẹ̀,fagbáratẹ̀mọ́lẹ̀
indelicate,indelicate,aláìlẹ́tọ̀ọ́,aláìlẹ́tọ̀ọ́
chaff,iyangbo,Ìyàngbò,Ìyàngbò
disappointing,itiniloju,ìtìlójú,ìtìlójú
submissive,tẹriba,tẹríba,tẹríba
low-price,iye owo kekere,,iye owo kekere
bore,bí,bí,bí
sloooooooooooooow,sloooooooooooooow,sloooooooooooooow,sloooooooooooooow
persistent,jubẹẹlo,,jubẹẹlo
tenuous,tenuous,tínrín,tínrín
thief,olè,olè,olè
lugubrious,lugubrious,lugubrious,lugubrious
prestige,ola,,ola
hells,apaadi,àpáàdì,àpáàdì
irreformable,irreformable,àìlátúnṣe,àìlátúnṣe
inflexible,alailagbara,àìlèyípadà,àìlèyípadà
drastically,lasan,burú,burú
dissemble,titopọ,díbọ́n,díbọ́n
eases,irọrun,mu rọrun,mu rọrun
troubles,wahala,wàhálà,wàhálà
obituary,obituary,ìtúfọ̀-òkú,ìtúfọ̀-òkú
avert,yago fun,dènà,dènà
improbable,ko ṣeeṣe,kò ṣeéṣe,kò ṣeéṣe
detonate,fọn,bẹ́,bẹ́
indecisive,alaigbagbọ,aláìgbàgbọ́,aláìgbàgbọ́
speculation,akiyesi,àbá,àbá
gasping,kikoro,àmípin,àmípin
dabbling,dabbling,fomiṣeré,fomiṣeré
existence,aye,,aye
unquestionable,unquestionable,laiṣiyemeji,laiṣiyemeji
contributor,olùkópa,,olùkópa
invalid,ko wulo,kò wúlò,kò wúlò
disintegrate,tuka,tú ká,tú ká
scaly,irẹjẹ,ìpẹ́pẹ́ ẹja,ìpẹ́pẹ́ ẹja
herpesvirus,herpesvirus,kòkòrò ààrun-ẹranko,kòkòrò ààrun-ẹranko
principled,ìlànà,,ìlànà
confiscation,ìfipá gbà,ìfòfingbà,ìfòfingbà
nestle,itẹ -ẹiyẹ,,itẹ -ẹiyẹ
disconcerting,disconcerting,ìdàrú,ìdàrú
conjuring,ti o jọmọ,àfọ̀ṣẹ,àfọ̀ṣẹ
egocentric,alaigbọran,ìmọ-ara-ẹni-nìkan,ìmọ-ara-ẹni-nìkan
profoundly,jinle,,jinle
classic,Ayebaye,,Ayebaye
threesome,ẹlẹni -mẹta,ẹlẹ́ni-mẹ́ta,ẹlẹ́ni-mẹ́ta
punishment,ijiya,ìjẹníyà,ìjẹníyà
unholy,alaimo,aláìmọ́,aláìmọ́
catastrophes,ajalu,àwọn àjálù ńlá,àwọn àjálù ńlá
chaos,Idarudapọ,ìdàrúdápọ̀,ìdàrúdápọ̀
matters,awọn nkan,,awọn nkan
sporty,ere idaraya,,ere idaraya
unwanted,ti aifẹ,tí àìfẹ́,tí àìfẹ́
